Firstname,Surname,Email,Password,Birthday,Phone Number
Adam,HOWARD,adam.howard8682@yahoo.com,apple972!,13052003,719-280-4064
Christopher,ALVAREZ,christopher.alvarez4684@yahoo.com,mango775?,13052002,798-619-8396
Benjamin,DAVIS,benjamin.davis2151@yahoo.com,date773%,13102003,743-361-8598
Robert,GARCIA,robert.garcia5294@yahoo.com,yak206!,24082002,760-531-1279
Patricia,RICHARDSON,patricia.richardson9722@yahoo.com,cherry676!,19092004,747-166-1478
Nancy,FLORES,nancy.flores8608@yahoo.com,rabbit997!,21022001,729-324-3608
Rachel,RAMOS,rachel.ramos5522@yahoo.com,zebra223%,22112000,722-779-8704
Nicholas,EDWARDS,nicholas.edwards6323@yahoo.com,nutmeg959!,25082000,759-292-1425
Laura,COOPER,laura.cooper3178@yahoo.com,orange408!,17092001,794-542-6238
Eric,HERNANDEZ,eric.hernandez5685@yahoo.com,nutmeg660$,07012000,796-216-5482
