Firstname,Surname,Email,Password
Michael,MORALES,michael.morales6815@yahoo.com,banana242?
William,RIVERA,william.rivera8671@yahoo.com,watermelon645?
Christopher,FLORES,christopher.flores9772@yahoo.com,cherry566$
Pamela,KING,pamela.king9275@yahoo.com,tiger445%
Nathan,EVANS,nathan.evans4345@yahoo.com,fig257!
Rachel,RAMIREZ,rachel.ramirez3132@yahoo.com,strawberry664?
Julie,WRIGHT,julie.wright3605@yahoo.com,yak353$
Michelle,JONES,michelle.jones3376@yahoo.com,orange737%
Jennifer,GREEN,jennifer.green4513@yahoo.com,watermelon765!
Brenda,LEE,brenda.lee9512@yahoo.com,banana543$
